ds,yhat
2023-11-11,601.03644
2023-11-12,603.10114
2023-11-13,604.7962
2023-11-14,606.3609
2023-11-15,607.889
2023-11-16,609.4114
2023-11-17,610.9372
2023-11-18,612.4687
2023-11-19,614.0063
2023-11-20,615.5502
2023-11-21,617.1003
2023-11-22,618.65674
2023-11-23,620.21954
2023-11-24,621.7887
2023-11-25,623.36444
2023-11-26,624.94666
2023-11-27,626.53546
2023-11-28,628.13086
2023-11-29,629.733
2023-11-30,631.3417
2023-12-01,632.95715
2023-12-02,634.5793
2023-12-03,636.2082
2023-12-04,637.8439
2023-12-05,639.4863
2023-12-06,641.1356
2023-12-07,642.7917
2023-12-08,644.4548
2023-12-09,646.12463
2023-12-10,647.80145
2023-12-11,649.4851
2023-12-12,651.1757
2023-12-13,652.8733
2023-12-14,654.5779
2023-12-15,656.2894
2023-12-16,658.00806
2023-12-17,659.73364
2023-12-18,661.4664
2023-12-19,663.2061
2023-12-20,664.953
2023-12-21,666.707
2023-12-22,668.4681
2023-12-23,670.2364
2023-12-24,672.01184
2023-12-25,673.7945
2023-12-26,675.5844
2023-12-27,677.38153
2023-12-28,679.18585
2023-12-29,680.99756
2023-12-30,682.8165
2023-12-31,684.64276
2024-01-01,686.4764
2024-01-02,688.31726
2024-01-03,690.1656
2024-01-04,692.0213
2024-01-05,693.88434
