ds,yhat
2023-11-11,449.7977
2023-11-12,449.59473
2023-11-13,449.7166
2023-11-14,449.9389
2023-11-15,450.1929
2023-11-16,450.45685
2023-11-17,450.72278
2023-11-18,450.98688
2023-11-19,451.2471
2023-11-20,451.5023
2023-11-21,451.75195
2023-11-22,451.99594
2023-11-23,452.23416
2023-11-24,452.46692
2023-11-25,452.69412
2023-11-26,452.91605
2023-11-27,453.1328
2023-11-28,453.34454
2023-11-29,453.5513
2023-11-30,453.7533
2023-12-01,453.95065
2023-12-02,454.14337
2023-12-03,454.33167
2023-12-04,454.51556
2023-12-05,454.69525
2023-12-06,454.87076
2023-12-07,455.0422
2023-12-08,455.20966
2023-12-09,455.3733
2023-12-10,455.5331
2023-12-11,455.68918
2023-12-12,455.8416
2023-12-13,455.9906
2023-12-14,456.13608
2023-12-15,456.27817
2023-12-16,456.41705
2023-12-17,456.55264
2023-12-18,456.68515
2023-12-19,456.8145
2023-12-20,456.9409
2023-12-21,457.0644
2023-12-22,457.18503
2023-12-23,457.3028
2023-12-24,457.4179
2023-12-25,457.53036
2023-12-26,457.64014
2023-12-27,457.74744
2023-12-28,457.8522
2023-12-29,457.95453
2023-12-30,458.05457
2023-12-31,458.15225
2024-01-01,458.24762
2024-01-02,458.34085
2024-01-03,458.4319
2024-01-04,458.5208
2024-01-05,458.6077
