ds,yhat
2023-11-11,454.6744
2023-11-12,454.4067
2023-11-13,454.4338
2023-11-14,454.60455
2023-11-15,454.8488
2023-11-16,455.13306
2023-11-17,455.44098
2023-11-18,455.76376
2023-11-19,456.09595
2023-11-20,456.43393
2023-11-21,456.77524
2023-11-22,457.118
2023-11-23,457.46097
2023-11-24,457.80286
2023-11-25,458.14297
2023-11-26,458.48074
2023-11-27,458.81598
2023-11-28,459.14816
2023-11-29,459.4773
2023-11-30,459.80325
2023-12-01,460.12582
2023-12-02,460.44485
2023-12-03,460.76047
2023-12-04,461.0728
2023-12-05,461.38177
2023-12-06,461.68732
2023-12-07,461.9895
2023-12-08,462.28815
2023-12-09,462.58325
2023-12-10,462.87503
2023-12-11,463.16357
2023-12-12,463.44855
2023-12-13,463.73013
2023-12-14,464.0083
2023-12-15,464.28308
2023-12-16,464.55447
2023-12-17,464.82266
2023-12-18,465.08774
2023-12-19,465.34964
2023-12-20,465.60852
2023-12-21,465.86417
2023-12-22,466.11685
2023-12-23,466.36655
2023-12-24,466.6132
2023-12-25,466.85687
2023-12-26,467.09763
2023-12-27,467.33554
2023-12-28,467.5706
2023-12-29,467.8028
2023-12-30,468.0322
2023-12-31,468.2589
2024-01-01,468.48285
2024-01-02,468.70413
2024-01-03,468.9227
2024-01-04,469.13873
2024-01-05,469.3521
