ds,yhat
2023-11-11,200.11354
2023-11-12,200.93532
2023-11-13,201.8284
2023-11-14,202.72118
2023-11-15,203.58818
2023-11-16,204.42197
2023-11-17,205.22179
2023-11-18,205.98895
2023-11-19,206.72496
2023-11-20,207.43118
2023-11-21,208.10901
2023-11-22,208.75967
2023-11-23,209.3845
2023-11-24,209.98445
2023-11-25,210.56073
2023-11-26,211.11435
2023-11-27,211.64641
2023-11-28,212.15782
2023-11-29,212.64958
2023-11-30,213.12265
2023-12-01,213.57784
2023-12-02,214.01573
2023-12-03,214.43715
2023-12-04,214.84283
2023-12-05,215.23337
2023-12-06,215.60933
2023-12-07,215.97124
2023-12-08,216.31966
2023-12-09,216.65515
2023-12-10,216.97812
2023-12-11,217.28906
2023-12-12,217.58835
2023-12-13,217.87637
2023-12-14,218.1536
2023-12-15,218.42036
2023-12-16,218.67714
2023-12-17,218.92432
2023-12-18,219.16225
2023-12-19,219.39124
2023-12-20,219.61171
2023-12-21,219.82385
2023-12-22,220.02798
2023-12-23,220.22444
2023-12-24,220.41354
2023-12-25,220.59554
2023-12-26,220.7707
2023-12-27,220.93925
2023-12-28,221.10152
2023-12-29,221.25768
2023-12-30,221.40794
2023-12-31,221.5526
2024-01-01,221.69179
2024-01-02,221.82574
2024-01-03,221.9547
2024-01-04,222.07878
2024-01-05,222.19821
