ds,yhat
2023-11-11,271.0558
2023-11-12,271.78275
2023-11-13,272.51016
2023-11-14,273.20065
2023-11-15,273.86893
2023-11-16,274.52725
2023-11-17,275.1792
2023-11-18,275.82367
2023-11-19,276.45816
2023-11-20,277.08063
2023-11-21,277.6896
2023-11-22,278.28445
2023-11-23,278.86496
2023-11-24,279.43115
2023-11-25,279.9833
2023-11-26,280.52167
2023-11-27,281.04672
2023-11-28,281.55862
2023-11-29,282.05774
2023-11-30,282.5445
2023-12-01,283.01907
2023-12-02,283.48184
2023-12-03,283.93307
2023-12-04,284.3731
2023-12-05,284.80215
2023-12-06,285.22058
2023-12-07,285.62857
2023-12-08,286.02643
2023-12-09,286.41443
2023-12-10,286.79276
2023-12-11,287.1617
2023-12-12,287.52142
2023-12-13,287.87225
2023-12-14,288.21432
2023-12-15,288.54785
2023-12-16,288.87314
2023-12-17,289.19034
2023-12-18,289.49963
2023-12-19,289.80124
2023-12-20,290.09537
2023-12-21,290.3821
2023-12-22,290.6618
2023-12-23,290.9345
2023-12-24,291.2004
2023-12-25,291.45975
2023-12-26,291.7126
2023-12-27,291.95917
2023-12-28,292.1996
2023-12-29,292.43405
2023-12-30,292.6627
2023-12-31,292.8856
2024-01-01,293.10303
2024-01-02,293.315
2024-01-03,293.5217
2024-01-04,293.7233
2024-01-05,293.91986
