ds,yhat
2023-11-11,69.70611
2023-11-12,69.86296
2023-11-13,70.00075
2023-11-14,70.11425
2023-11-15,70.20418
2023-11-16,70.2737
2023-11-17,70.32667
2023-11-18,70.367134
2023-11-19,70.39805
2023-11-20,70.421844
2023-11-21,70.44049
2023-11-22,70.45541
2023-11-23,70.46778
2023-11-24,70.47812
2023-11-25,70.48713
2023-11-26,70.49507
2023-11-27,70.50224
2023-11-28,70.50881
2023-11-29,70.514824
2023-11-30,70.5205
2023-12-01,70.52602
2023-12-02,70.531044
2023-12-03,70.53574
2023-12-04,70.54021
2023-12-05,70.54434
2023-12-06,70.54816
2023-12-07,70.551414
2023-12-08,70.55429
2023-12-09,70.557236
2023-12-10,70.55996
2023-12-11,70.56206
2023-12-12,70.56397
2023-12-13,70.56547
2023-12-14,70.566605
2023-12-15,70.5675
2023-12-16,70.568115
2023-12-17,70.568634
2023-12-18,70.56899
2023-12-19,70.56923
2023-12-20,70.5695
2023-12-21,70.56952
2023-12-22,70.56955
2023-12-23,70.56957
2023-12-24,70.5696
2023-12-25,70.569626
2023-12-26,70.56961
2023-12-27,70.56964
2023-12-28,70.56963
2023-12-29,70.56963
2023-12-30,70.56966
2023-12-31,70.56966
2024-01-01,70.56965
2024-01-02,70.56965
2024-01-03,70.56966
2024-01-04,70.56965
2024-01-05,70.569664
