ds,yhat
2023-11-11,315.37775
2023-11-12,316.956
2023-11-13,318.18222
2023-11-14,319.10773
2023-11-15,319.78787
2023-11-16,320.2755
2023-11-17,320.6175
2023-11-18,320.85162
2023-11-19,321.00867
2023-11-20,321.10962
2023-11-21,321.17322
2023-11-22,321.20953
2023-11-23,321.22934
2023-11-24,321.2377
2023-11-25,321.23956
2023-11-26,321.23608
2023-11-27,321.23068
2023-11-28,321.22424
2023-11-29,321.21716
2023-11-30,321.2112
2023-12-01,321.2078
2023-12-02,321.20444
2023-12-03,321.2015
2023-12-04,321.20023
2023-12-05,321.2003
2023-12-06,321.20135
2023-12-07,321.2019
2023-12-08,321.20386
2023-12-09,321.2085
2023-12-10,321.21524
2023-12-11,321.2195
2023-12-12,321.22354
2023-12-13,321.22836
2023-12-14,321.23175
2023-12-15,321.23654
2023-12-16,321.24097
2023-12-17,321.24518
2023-12-18,321.24896
2023-12-19,321.25262
2023-12-20,321.2558
2023-12-21,321.25827
2023-12-22,321.26355
2023-12-23,321.26822
2023-12-24,321.27243
2023-12-25,321.2764
2023-12-26,321.28018
2023-12-27,321.28384
2023-12-28,321.2874
2023-12-29,321.29092
2023-12-30,321.2944
2023-12-31,321.29782
2024-01-01,321.30124
2024-01-02,321.30463
2024-01-03,321.30795
2024-01-04,321.31128
2024-01-05,321.31458
