ds,yhat
2023-11-11,60.105965
2023-11-12,60.285572
2023-11-13,60.544067
2023-11-14,60.7432
2023-11-15,60.862053
2023-11-16,60.923016
2023-11-17,60.952034
2023-11-18,60.96639
2023-11-19,60.975025
2023-11-20,60.981705
2023-11-21,60.987686
2023-11-22,60.992966
2023-11-23,60.99751
2023-11-24,61.00129
2023-11-25,61.004345
2023-11-26,61.006683
2023-11-27,61.008476
2023-11-28,61.00988
2023-11-29,61.010845
2023-11-30,61.01157
2023-12-01,61.012127
2023-12-02,61.012493
2023-12-03,61.01279
2023-12-04,61.01296
2023-12-05,61.01308
2023-12-06,61.013134
2023-12-07,61.013187
2023-12-08,61.013237
2023-12-09,61.01326
2023-12-10,61.01328
2023-12-11,61.01326
2023-12-12,61.013275
2023-12-13,61.01328
2023-12-14,61.013275
2023-12-15,61.013275
2023-12-16,61.013275
2023-12-17,61.013275
2023-12-18,61.01328
2023-12-19,61.013275
2023-12-20,61.013275
2023-12-21,61.013287
2023-12-22,61.013275
2023-12-23,61.013287
2023-12-24,61.013275
2023-12-25,61.013275
2023-12-26,61.013275
2023-12-27,61.013287
2023-12-28,61.013275
2023-12-29,61.01328
2023-12-30,61.013287
2023-12-31,61.013287
2024-01-01,61.01328
2024-01-02,61.01326
2024-01-03,61.013275
2024-01-04,61.013287
2024-01-05,61.013275
