ds,yhat
2023-11-11,40.61374
2023-11-12,40.546745
2023-11-13,40.46286
2023-11-14,40.38431
2023-11-15,40.32217
2023-11-16,40.27629
2023-11-17,40.242313
2023-11-18,40.215702
2023-11-19,40.193333
2023-11-20,40.17331
2023-11-21,40.154778
2023-11-22,40.137276
2023-11-23,40.120686
2023-11-24,40.10497
2023-11-25,40.090176
2023-11-26,40.076244
2023-11-27,40.06319
2023-11-28,40.050972
2023-11-29,40.039585
2023-11-30,40.028965
2023-12-01,40.01905
2023-12-02,40.009808
2023-12-03,40.00123
2023-12-04,39.993237
2023-12-05,39.985794
2023-12-06,39.97888
2023-12-07,39.97244
2023-12-08,39.966457
2023-12-09,39.960873
2023-12-10,39.955658
2023-12-11,39.95083
2023-12-12,39.94633
2023-12-13,39.94214
2023-12-14,39.938248
2023-12-15,39.934605
2023-12-16,39.93122
2023-12-17,39.92811
2023-12-18,39.92517
2023-12-19,39.922424
2023-12-20,39.91991
2023-12-21,39.917576
2023-12-22,39.915348
2023-12-23,39.913315
2023-12-24,39.9114
2023-12-25,39.909664
2023-12-26,39.907986
2023-12-27,39.90648
2023-12-28,39.905025
2023-12-29,39.903736
2023-12-30,39.90248
2023-12-31,39.901318
2024-01-01,39.90024
2024-01-02,39.899242
2024-01-03,39.898327
2024-01-04,39.89747
2024-01-05,39.896675
