ds,yhat
2023-11-11,354.29205
2023-11-12,356.50082
2023-11-13,358.03217
2023-11-14,359.07285
2023-11-15,359.77194
2023-11-16,360.2407
2023-11-17,360.5582
2023-11-18,360.77884
2023-11-19,360.93884
2023-11-20,361.0616
2023-11-21,361.16208
2023-11-22,361.2495
2023-11-23,361.3294
2023-11-24,361.40488
2023-11-25,361.47803
2023-11-26,361.5496
2023-11-27,361.6202
2023-11-28,361.69006
2023-11-29,361.7592
2023-11-30,361.82767
2023-12-01,361.89554
2023-12-02,361.9626
2023-12-03,362.02884
2023-12-04,362.0943
2023-12-05,362.15894
2023-12-06,362.22266
2023-12-07,362.2854
2023-12-08,362.3471
2023-12-09,362.4081
2023-12-10,362.46814
2023-12-11,362.52716
2023-12-12,362.58527
2023-12-13,362.64236
2023-12-14,362.69843
2023-12-15,362.75342
2023-12-16,362.80746
2023-12-17,362.86063
2023-12-18,362.91284
2023-12-19,362.96423
2023-12-20,363.0147
2023-12-21,363.06427
2023-12-22,363.11276
2023-12-23,363.16052
2023-12-24,363.20743
2023-12-25,363.2536
2023-12-26,363.29892
2023-12-27,363.3435
2023-12-28,363.38727
2023-12-29,363.4303
2023-12-30,363.4726
2023-12-31,363.5141
2024-01-01,363.55496
2024-01-02,363.5951
2024-01-03,363.63452
2024-01-04,363.67325
2024-01-05,363.7113
