ds,yhat
2023-11-11,71.41934
2023-11-12,71.91003
2023-11-13,72.52724
2023-11-14,73.06076
2023-11-15,73.44923
2023-11-16,73.70325
2023-11-17,73.85622
2023-11-18,73.941826
2023-11-19,73.98627
2023-11-20,74.007225
2023-11-21,74.01566
2023-11-22,74.018166
2023-11-23,74.01803
2023-11-24,74.01705
2023-11-25,74.01596
2023-11-26,74.01509
2023-11-27,74.01445
2023-11-28,74.014
2023-11-29,74.01379
2023-11-30,74.01366
2023-12-01,74.01366
2023-12-02,74.01361
2023-12-03,74.01364
2023-12-04,74.01364
2023-12-05,74.01369
2023-12-06,74.01372
2023-12-07,74.01373
2023-12-08,74.01376
2023-12-09,74.01378
2023-12-10,74.013824
2023-12-11,74.01381
2023-12-12,74.01382
2023-12-13,74.01382
2023-12-14,74.01381
2023-12-15,74.01382
2023-12-16,74.01382
2023-12-17,74.01382
2023-12-18,74.01381
2023-12-19,74.01379
2023-12-20,74.013794
2023-12-21,74.01382
2023-12-22,74.01381
2023-12-23,74.01382
2023-12-24,74.0138
2023-12-25,74.01382
2023-12-26,74.0138
2023-12-27,74.01381
2023-12-28,74.01379
2023-12-29,74.01382
2023-12-30,74.01382
2023-12-31,74.0138
2024-01-01,74.013824
2024-01-02,74.01381
2024-01-03,74.0138
2024-01-04,74.0138
2024-01-05,74.01382
