ds,yhat
2023-11-11,111.08229
2023-11-12,111.711555
2023-11-13,112.325615
2023-11-14,112.88913
2023-11-15,113.39923
2023-11-16,113.86393
2023-11-17,114.293236
2023-11-18,114.695946
2023-11-19,115.078476
2023-11-20,115.44523
2023-11-21,115.798874
2023-11-22,116.14113
2023-11-23,116.47309
2023-11-24,116.79527
2023-11-25,117.108055
2023-11-26,117.41155
2023-11-27,117.705986
2023-11-28,117.99152
2023-11-29,118.2683
2023-11-30,118.536575
2023-12-01,118.79634
2023-12-02,119.04782
2023-12-03,119.29128
2023-12-04,119.52696
2023-12-05,119.75517
2023-12-06,119.97603
2023-12-07,120.18976
2023-12-08,120.39639
2023-12-09,120.59626
2023-12-10,120.78978
2023-12-11,120.97711
2023-12-12,121.15787
2023-12-13,121.33257
2023-12-14,121.50157
2023-12-15,121.66467
2023-12-16,121.82226
2023-12-17,121.97461
2023-12-18,122.12186
2023-12-19,122.264244
2023-12-20,122.40208
2023-12-21,122.535286
2023-12-22,122.663826
2023-12-23,122.78808
2023-12-24,122.908195
2023-12-25,123.02431
2023-12-26,123.136536
2023-12-27,123.245026
2023-12-28,123.34987
2023-12-29,123.45125
2023-12-30,123.54923
2023-12-31,123.64394
2024-01-01,123.7355
2024-01-02,123.823975
2024-01-03,123.909515
2024-01-04,123.992195
2024-01-05,124.0721
