ds,yhat
2023-11-11,137.86978202958417
2023-11-12,137.9768836004038
2023-11-13,138.00787946244677
2023-11-14,138.119893786868
2023-11-15,138.20950308680648
2023-11-16,138.31289812180952
2023-11-17,138.366158898875
2023-11-18,138.6256063907685
2023-11-19,138.72698923046175
2023-11-20,138.74652090643292
2023-11-21,138.84133868608936
2023-11-22,138.90816570267077
2023-11-23,138.98347309714939
2023-11-24,139.0037516846612
2023-11-25,139.22585678061415
2023-11-26,139.28618455912135
2023-11-27,139.2616956799639
2023-11-28,139.3103577160305
2023-11-29,139.32978820733328
2023-11-30,139.35739570026757
2023-12-01,139.33062877326677
2023-12-02,139.50729726615958
2023-12-03,139.52472470312406
2023-12-04,139.4607482810933
2023-12-05,139.47413859228456
2023-12-06,139.46322152712477
2023-12-07,139.46600030260228
2023-12-08,139.42038815314825
2023-12-09,139.58451637161184
2023-12-10,139.59587708111567
2023-12-11,139.5323174096146
2023-12-12,139.55245743569296
2023-12-13,139.55431444518584
2023-12-14,139.57543142678693
2023-12-15,139.5531202161773
2023-12-16,139.74478374040288
2023-12-17,139.78707640469872
2023-12-18,139.7569188605709
2023-12-19,139.81193900727453
2023-12-20,139.84912117983617
2023-12-21,139.90496081075642
2023-12-22,139.9157342962332
2023-12-23,140.13784782046156
2023-12-24,140.20702348128472
2023-12-25,140.19933827524252
2023-12-26,140.27168715002324
2023-12-27,140.320451487567
2023-12-28,140.38166978544035
2023-12-29,140.39131983254146
2023-12-30,140.60567579469253
2023-12-31,140.66049832165857
2024-01-01,140.63207311477234
2024-01-02,140.6776691607279
2024-01-03,140.69419810914832
2024-01-04,140.71837178992513
2024-01-05,140.68696750287754
