ds,yhat
2023-11-11,384.40536
2023-11-12,385.92154
2023-11-13,385.6655
2023-11-14,384.18304
2023-11-15,381.8796
2023-11-16,379.0537
2023-11-17,375.91647
2023-11-18,372.61407
2023-11-19,369.25137
2023-11-20,365.89758
2023-11-21,362.5976
2023-11-22,359.38202
2023-11-23,356.26404
2023-11-24,353.2572
2023-11-25,350.36606
2023-11-26,347.59317
2023-11-27,344.93503
2023-11-28,342.39108
2023-11-29,339.95944
2023-11-30,337.63495
2023-12-01,335.41125
2023-12-02,333.28888
2023-12-03,331.26016
2023-12-04,329.32086
2023-12-05,327.47046
2023-12-06,325.7044
2023-12-07,324.0236
2023-12-08,322.4227
2023-12-09,320.89304
2023-12-10,319.43335
2023-12-11,318.0438
2023-12-12,316.72147
2023-12-13,315.46234
2023-12-14,314.26627
2023-12-15,313.12964
2023-12-16,312.05005
2023-12-17,311.02316
2023-12-18,310.04572
2023-12-19,309.11618
2023-12-20,308.2318
2023-12-21,307.3925
2023-12-22,306.57812
2023-12-23,305.80365
2023-12-24,305.06668
2023-12-25,304.36514
2023-12-26,303.69714
2023-12-27,303.06094
2023-12-28,302.45496
2023-12-29,301.8777
2023-12-30,301.3278
2023-12-31,300.8039
2024-01-01,300.30478
2024-01-02,299.82928
2024-01-03,299.37625
2024-01-04,298.94464
2024-01-05,298.53348
