ds,yhat
2023-11-11,62.148506
2023-11-12,62.241096
2023-11-13,62.263676
2023-11-14,62.27403
2023-11-15,62.29941
2023-11-16,62.342022
2023-11-17,62.3964
2023-11-18,62.457146
2023-11-19,62.520943
2023-11-20,62.586002
2023-11-21,62.65145
2023-11-22,62.716923
2023-11-23,62.78226
2023-11-24,62.84734
2023-11-25,62.912083
2023-11-26,62.976444
2023-11-27,63.040398
2023-11-28,63.10384
2023-11-29,63.1668
2023-11-30,63.229256
2023-12-01,63.291164
2023-12-02,63.352535
2023-12-03,63.413364
2023-12-04,63.473637
2023-12-05,63.533367
2023-12-06,63.59254
2023-12-07,63.65123
2023-12-08,63.70939
2023-12-09,63.767006
2023-12-10,63.824123
2023-12-11,63.880688
2023-12-12,63.936768
2023-12-13,63.99234
2023-12-14,64.04742
2023-12-15,64.10199
2023-12-16,64.156075
2023-12-17,64.2097
2023-12-18,64.26282
2023-12-19,64.315475
2023-12-20,64.36767
2023-12-21,64.41936
2023-12-22,64.47062
2023-12-23,64.521416
2023-12-24,64.57176
2023-12-25,64.621635
2023-12-26,64.671074
2023-12-27,64.72007
2023-12-28,64.768616
2023-12-29,64.81674
2023-12-30,64.86442
2023-12-31,64.911705
2024-01-01,64.95856
2024-01-02,65.00496
2024-01-03,65.05095
2024-01-04,65.09655
2024-01-05,65.14174
