ds,yhat
2023-11-11,54.294247
2023-11-12,54.37534
2023-11-13,54.509308
2023-11-14,54.671196
2023-11-15,54.84187
2023-11-16,55.0088
2023-11-17,55.1645
2023-11-18,55.304916
2023-11-19,55.428825
2023-11-20,55.536407
2023-11-21,55.62855
2023-11-22,55.70669
2023-11-23,55.77228
2023-11-24,55.827118
2023-11-25,55.872566
2023-11-26,55.910133
2023-11-27,55.940983
2023-11-28,55.96616
2023-11-29,55.986668
2023-11-30,56.0032
2023-12-01,56.016457
2023-12-02,56.02718
2023-12-03,56.03577
2023-12-04,56.04255
2023-12-05,56.047916
2023-12-06,56.05212
2023-12-07,56.055523
2023-12-08,56.058342
2023-12-09,56.060474
2023-12-10,56.06212
2023-12-11,56.063496
2023-12-12,56.06447
2023-12-13,56.065502
2023-12-14,56.06657
2023-12-15,56.067604
2023-12-16,56.06858
2023-12-17,56.069435
2023-12-18,56.0702
2023-12-19,56.070877
2023-12-20,56.071396
2023-12-21,56.072002
2023-12-22,56.07248
2023-12-23,56.072884
2023-12-24,56.073246
2023-12-25,56.07354
2023-12-26,56.073803
2023-12-27,56.07403
2023-12-28,56.074223
2023-12-29,56.074387
2023-12-30,56.07453
2023-12-31,56.074654
2024-01-01,56.074757
2024-01-02,56.074852
2024-01-03,56.074932
2024-01-04,56.074997
2024-01-05,56.075058
