ds,yhat
2023-11-11,15.366171
2023-11-12,15.187482
2023-11-13,14.975929
2023-11-14,14.766248
2023-11-15,14.565404
2023-11-16,14.373459
2023-11-17,14.189417
2023-11-18,14.012486
2023-11-19,13.842051
2023-11-20,13.677675
2023-11-21,13.518936
2023-11-22,13.365497
2023-11-23,13.217002
2023-11-24,13.073218
2023-11-25,12.933914
2023-11-26,12.798925
2023-11-27,12.668059
2023-11-28,12.541168
2023-11-29,12.418162
2023-11-30,12.298908
2023-12-01,12.183282
2023-12-02,12.07117
2023-12-03,11.9624815
2023-12-04,11.857092
2023-12-05,11.754928
2023-12-06,11.655855
2023-12-07,11.559812
2023-12-08,11.466686
2023-12-09,11.376423
2023-12-10,11.288872
2023-12-11,11.204018
2023-12-12,11.121742
2023-12-13,11.041972
2023-12-14,10.964632
2023-12-15,10.889645
2023-12-16,10.816958
2023-12-17,10.746475
2023-12-18,10.678154
2023-12-19,10.611901
2023-12-20,10.547678
2023-12-21,10.485382
2023-12-22,10.425045
2023-12-23,10.366486
2023-12-24,10.309741
2023-12-25,10.25473
2023-12-26,10.201375
2023-12-27,10.149663
2023-12-28,10.099523
2023-12-29,10.050925
2023-12-30,10.003788
2023-12-31,9.958094
2024-01-01,9.913802
2024-01-02,9.870837
2024-01-03,9.829201
2024-01-04,9.788834
2024-01-05,9.749683
