ds,yhat
2023-11-11,32.71708
2023-11-12,32.81939
2023-11-13,33.0453
2023-11-14,33.3021
2023-11-15,33.555523
2023-11-16,33.794926
2023-11-17,34.018364
2023-11-18,34.226585
2023-11-19,34.42082
2023-11-20,34.6022
2023-11-21,34.771637
2023-11-22,34.929893
2023-11-23,35.077694
2023-11-24,35.21567
2023-11-25,35.34443
2023-11-26,35.46459
2023-11-27,35.576706
2023-11-28,35.681313
2023-11-29,35.778885
2023-11-30,35.869946
2023-12-01,35.954884
2023-12-02,36.03414
2023-12-03,36.108112
2023-12-04,36.177128
2023-12-05,36.241524
2023-12-06,36.30161
2023-12-07,36.357677
2023-12-08,36.41001
2023-12-09,36.458828
2023-12-10,36.50439
2023-12-11,36.54691
2023-12-12,36.58658
2023-12-13,36.623577
2023-12-14,36.65811
2023-12-15,36.690334
2023-12-16,36.7204
2023-12-17,36.748463
2023-12-18,36.77464
2023-12-19,36.79906
2023-12-20,36.82185
2023-12-21,36.843124
2023-12-22,36.862965
2023-12-23,36.881485
2023-12-24,36.89876
2023-12-25,36.914886
2023-12-26,36.92994
2023-12-27,36.94397
2023-12-28,36.957066
2023-12-29,36.969284
2023-12-30,36.980698
2023-12-31,36.99134
2024-01-01,37.001263
2024-01-02,37.01053
2024-01-03,37.01918
2024-01-04,37.02724
2024-01-05,37.034767
