ds,yhat
2023-11-11,104.25615
2023-11-12,104.381744
2023-11-13,104.46827
2023-11-14,104.518936
2023-11-15,104.54305
2023-11-16,104.54984
2023-11-17,104.54651
2023-11-18,104.5379
2023-11-19,104.52708
2023-11-20,104.5157
2023-11-21,104.50456
2023-11-22,104.49398
2023-11-23,104.48405
2023-11-24,104.474724
2023-11-25,104.46591
2023-11-26,104.457565
2023-11-27,104.44959
2023-11-28,104.44199
2023-11-29,104.43471
2023-11-30,104.42771
2023-12-01,104.421005
2023-12-02,104.41456
2023-12-03,104.408325
2023-12-04,104.40235
2023-12-05,104.39661
2023-12-06,104.39106
2023-12-07,104.38573
2023-12-08,104.38063
2023-12-09,104.3757
2023-12-10,104.37096
2023-12-11,104.3664
2023-12-12,104.362015
2023-12-13,104.357796
2023-12-14,104.35374
2023-12-15,104.34984
2023-12-16,104.34608
2023-12-17,104.34245
2023-12-18,104.339005
2023-12-19,104.335655
2023-12-20,104.33243
2023-12-21,104.329346
2023-12-22,104.32638
2023-12-23,104.3235
2023-12-24,104.320755
2023-12-25,104.3181
2023-12-26,104.31555
2023-12-27,104.3131
2023-12-28,104.31075
2023-12-29,104.30849
2023-12-30,104.3063
2023-12-31,104.30421
2024-01-01,104.30219
2024-01-02,104.300255
2024-01-03,104.298386
2024-01-04,104.29659
2024-01-05,104.29485
