ds,yhat
2023-11-11,140.5308712960436
2023-11-12,140.64971120831828
2023-11-13,140.95911921828062
2023-11-14,141.09709541319515
2023-11-15,141.20671522228668
2023-11-16,141.3225452005691
2023-11-17,141.43026762790026
2023-11-18,141.41697086603656
2023-11-19,141.54658535180877
2023-11-20,141.8612386710858
2023-11-21,141.99870227007506
2023-11-22,142.1019490575559
2023-11-23,142.2055720056814
2023-11-24,142.29540804079895
2023-11-25,142.2588242010058
2023-11-26,142.3601460714402
2023-11-27,142.64200216998842
2023-11-28,142.74275715641105
2023-11-29,142.8060535142785
2023-11-30,142.86721227697964
2023-12-01,142.91283760739609
2023-12-02,142.83108276556237
2023-12-03,142.8870580563296
2023-12-04,143.1241550172874
2023-12-05,143.18146029711937
2023-12-06,143.20327942380322
2023-12-07,143.2255215408703
2023-12-08,143.23529037048326
2023-12-09,143.12113931597816
2023-12-10,143.148471592398
2023-12-11,143.3608598513003
2023-12-12,143.3974588595757
2023-12-13,143.4025314415551
2023-12-14,143.41183867250047
2023-12-15,143.41223939473153
2023-12-16,143.2919566896282
2023-12-17,143.3159918308767
2023-12-18,143.52745974897883
2023-12-19,143.5650190701976
2023-12-20,143.57241639697878
2023-12-21,143.58489524599085
2023-12-22,143.58881413033296
2023-12-23,143.47193083900763
2023-12-24,143.49883288074545
2023-12-25,143.71228760248113
2023-12-26,143.750684580134
2023-12-27,143.75758955152162
2023-12-28,143.7681599908325
2023-12-29,143.7687665848361
2023-12-30,143.6472775351689
2023-12-31,143.66848562705894
2024-01-01,143.87545165157331
2024-01-02,143.9069369577346
2024-01-03,143.90694468038828
2024-01-04,143.9111201091861
2024-01-05,143.90635490454918
