ds,yhat
2023-11-11,103.75053
2023-11-12,103.457405
2023-11-13,103.28454
2023-11-14,103.22262
2023-11-15,103.21728
2023-11-16,103.23052
2023-11-17,103.24518
2023-11-18,103.25597
2023-11-19,103.262886
2023-11-20,103.26726
2023-11-21,103.270195
2023-11-22,103.27237
2023-11-23,103.27433
2023-11-24,103.275986
2023-11-25,103.27742
2023-11-26,103.27868
2023-11-27,103.27967
2023-11-28,103.28044
2023-11-29,103.28103
2023-11-30,103.2815
2023-12-01,103.281845
2023-12-02,103.28206
2023-12-03,103.28223
2023-12-04,103.282326
2023-12-05,103.28239
2023-12-06,103.282394
2023-12-07,103.282425
2023-12-08,103.28243
2023-12-09,103.28245
2023-12-10,103.28243
2023-12-11,103.28245
2023-12-12,103.28245
2023-12-13,103.28245
2023-12-14,103.28245
2023-12-15,103.282455
2023-12-16,103.28243
2023-12-17,103.28243
2023-12-18,103.282425
2023-12-19,103.28243
2023-12-20,103.282425
2023-12-21,103.28243
2023-12-22,103.28243
2023-12-23,103.28243
2023-12-24,103.28243
2023-12-25,103.282425
2023-12-26,103.28243
2023-12-27,103.28243
2023-12-28,103.28243
2023-12-29,103.28245
2023-12-30,103.28243
2023-12-31,103.282425
2024-01-01,103.28245
2024-01-02,103.282455
2024-01-03,103.28245
2024-01-04,103.28245
2024-01-05,103.28245
