ds,yhat
2023-11-11,223.74253774006624
2023-11-12,223.6778745579227
2023-11-13,220.80273305196053
2023-11-14,221.02596846423845
2023-11-15,220.91647858269957
2023-11-16,220.9121083207837
2023-11-17,221.0477278388541
2023-11-18,223.3455554071183
2023-11-19,223.2935511442091
2023-11-20,220.42660568744137
2023-11-21,220.65329014710184
2023-11-22,220.5424195798925
2023-11-23,220.53195798536288
2023-11-24,220.65709173073967
2023-11-25,222.9405427748813
2023-11-26,222.8709481094007
2023-11-27,219.98402986067748
2023-11-28,220.18932288658107
2023-11-29,220.05671266509947
2023-11-30,220.02531210785827
2023-12-01,220.1315048843401
2023-12-02,222.39922734347104
2023-12-03,222.31831618498262
2023-12-04,219.4256470610269
2023-12-05,219.6318316640345
2023-12-06,219.507726790248
2023-12-07,219.49328465945328
2023-12-08,219.62557266611404
2023-12-09,221.92903516789332
2023-12-10,221.89382490333472
2023-12-11,219.05692957003683
2023-12-12,219.3288613758233
2023-12-13,219.28016321048813
2023-12-14,219.35026077622985
2023-12-15,219.57548880974454
2023-12-16,221.9793638617388
2023-12-17,222.05093099199462
2023-12-18,219.32590959017608
2023-12-19,219.71340573409358
2023-12-20,219.78244426116612
2023-12-21,219.97084935970614
2023-12-22,220.31330123182528
2023-12-23,222.8316406760964
2023-12-24,223.01324830578739
2023-12-25,220.3922229590734
2023-12-26,220.8761260600276
2023-12-27,221.03254446712646
2023-12-28,221.29800000230915
2023-12-29,221.7060326360124
2023-12-30,224.27752864749021
2023-12-31,224.4991200046501
2024-01-01,221.90437911355085
2024-01-02,222.40057536306793
2024-01-03,222.55524574637994
2024-01-04,222.80510758005033
2024-01-05,223.18414020961615
