ds,yhat
2023-11-11,247.7864
2023-11-12,248.92853
2023-11-13,249.71945
2023-11-14,250.23866
2023-11-15,250.55722
2023-11-16,250.73322
2023-11-17,250.8114
2023-11-18,250.82518
2023-11-19,250.7977
2023-11-20,250.74536
2023-11-21,250.67902
2023-11-22,250.60559
2023-11-23,250.52979
2023-11-24,250.4543
2023-11-25,250.38063
2023-11-26,250.30952
2023-11-27,250.24149
2023-11-28,250.17671
2023-11-29,250.11526
2023-11-30,250.05705
2023-12-01,250.00209
2023-12-02,249.95004
2023-12-03,249.9008
2023-12-04,249.85422
2023-12-05,249.8102
2023-12-06,249.76868
2023-12-07,249.72937
2023-12-08,249.69196
2023-12-09,249.65692
2023-12-10,249.6239
2023-12-11,249.59253
2023-12-12,249.56265
2023-12-13,249.53429
2023-12-14,249.50719
2023-12-15,249.48138
2023-12-16,249.45686
2023-12-17,249.4335
2023-12-18,249.4113
2023-12-19,249.39024
2023-12-20,249.37027
2023-12-21,249.3511
2023-12-22,249.33272
2023-12-23,249.31529
2023-12-24,249.29875
2023-12-25,249.28304
2023-12-26,249.26811
2023-12-27,249.2539
2023-12-28,249.24042
2023-12-29,249.22758
2023-12-30,249.2154
2023-12-31,249.20378
2024-01-01,249.19275
2024-01-02,249.18224
2024-01-03,249.17226
2024-01-04,249.16277
2024-01-05,249.15372
