ds,yhat
2023-11-11,55.305187
2023-11-12,55.28179
2023-11-13,55.421963
2023-11-14,55.627743
2023-11-15,55.855602
2023-11-16,56.08684
2023-11-17,56.314278
2023-11-18,56.536087
2023-11-19,56.752483
2023-11-20,56.964397
2023-11-21,57.172802
2023-11-22,57.37848
2023-11-23,57.581997
2023-11-24,57.783787
2023-11-25,57.98404
2023-11-26,58.183
2023-11-27,58.380707
2023-11-28,58.57725
2023-11-29,58.77268
2023-11-30,58.967022
2023-12-01,59.160263
2023-12-02,59.352463
2023-12-03,59.5436
2023-12-04,59.7337
2023-12-05,59.922752
2023-12-06,60.11077
2023-12-07,60.297756
2023-12-08,60.483738
2023-12-09,60.668682
2023-12-10,60.852627
2023-12-11,61.035557
2023-12-12,61.217487
2023-12-13,61.398403
2023-12-14,61.57835
2023-12-15,61.757298
2023-12-16,61.935265
2023-12-17,62.11225
2023-12-18,62.288273
2023-12-19,62.46334
2023-12-20,62.637405
2023-12-21,62.81056
2023-12-22,62.98274
2023-12-23,63.153984
2023-12-24,63.3243
2023-12-25,63.493656
2023-12-26,63.662106
2023-12-27,63.829597
2023-12-28,63.996197
2023-12-29,64.161865
2023-12-30,64.32663
2023-12-31,64.490486
2024-01-01,64.65344
2024-01-02,64.8155
2024-01-03,64.976685
2024-01-04,65.13698
2024-01-05,65.296394
