ds,yhat
2023-11-11,55.38601
2023-11-12,55.127316
2023-11-13,54.965134
2023-11-14,54.861317
2023-11-15,54.793274
2023-11-16,54.747982
2023-11-17,54.717575
2023-11-18,54.69712
2023-11-19,54.68382
2023-11-20,54.67563
2023-11-21,54.67096
2023-11-22,54.669033
2023-11-23,54.66905
2023-11-24,54.67032
2023-11-25,54.672523
2023-11-26,54.675373
2023-11-27,54.678684
2023-11-28,54.6821
2023-11-29,54.685474
2023-11-30,54.688652
2023-12-01,54.691574
2023-12-02,54.69433
2023-12-03,54.696842
2023-12-04,54.699028
2023-12-05,54.700928
2023-12-06,54.7024
2023-12-07,54.70385
2023-12-08,54.70509
2023-12-09,54.706036
2023-12-10,54.7068
2023-12-11,54.707577
2023-12-12,54.708355
2023-12-13,54.70908
2023-12-14,54.709873
2023-12-15,54.710766
2023-12-16,54.711613
2023-12-17,54.71239
2023-12-18,54.71285
2023-12-19,54.71337
2023-12-20,54.713894
2023-12-21,54.71453
2023-12-22,54.715256
2023-12-23,54.715908
2023-12-24,54.71653
2023-12-25,54.717113
2023-12-26,54.71769
2023-12-27,54.71823
2023-12-28,54.71877
2023-12-29,54.719288
2023-12-30,54.71979
2023-12-31,54.72028
2024-01-01,54.720764
2024-01-02,54.721233
2024-01-03,54.72168
2024-01-04,54.72213
2024-01-05,54.722565
