ds,yhat
2023-11-11,68.43067
2023-11-12,68.40241
2023-11-13,68.35601
2023-11-14,68.28829
2023-11-15,68.212074
2023-11-16,68.13723
2023-11-17,68.06822
2023-11-18,68.0059
2023-11-19,67.949554
2023-11-20,67.898254
2023-11-21,67.851135
2023-11-22,67.80767
2023-11-23,67.76746
2023-11-24,67.730225
2023-11-25,67.6958
2023-11-26,67.66399
2023-11-27,67.63468
2023-11-28,67.60772
2023-11-29,67.58288
2023-11-30,67.560036
2023-12-01,67.53909
2023-12-02,67.519875
2023-12-03,67.50226
2023-12-04,67.48612
2023-12-05,67.47136
2023-12-06,67.457825
2023-12-07,67.44543
2023-12-08,67.43409
2023-12-09,67.4237
2023-12-10,67.414154
2023-12-11,67.405426
2023-12-12,67.39745
2023-12-13,67.39014
2023-12-14,67.38343
2023-12-15,67.3773
2023-12-16,67.37169
2023-12-17,67.36653
2023-12-18,67.36182
2023-12-19,67.35748
2023-12-20,67.35353
2023-12-21,67.34989
2023-12-22,67.34658
2023-12-23,67.34354
2023-12-24,67.34076
2023-12-25,67.338196
2023-12-26,67.33587
2023-12-27,67.33372
2023-12-28,67.33175
2023-12-29,67.329956
2023-12-30,67.328316
2023-12-31,67.326805
2024-01-01,67.32541
2024-01-02,67.32415
2024-01-03,67.323
2024-01-04,67.32194
2024-01-05,67.32096
