ds,yhat
2023-11-11,70.25004
2023-11-12,70.367424
2023-11-13,70.48163
2023-11-14,70.58453
2023-11-15,70.67731
2023-11-16,70.7632
2023-11-17,70.845375
2023-11-18,70.92643
2023-11-19,71.00731
2023-11-20,71.088264
2023-11-21,71.16912
2023-11-22,71.24945
2023-11-23,71.32837
2023-11-24,71.40512
2023-11-25,71.47921
2023-11-26,71.55009
2023-11-27,71.61744
2023-11-28,71.68114
2023-11-29,71.74115
2023-11-30,71.797714
2023-12-01,71.85049
2023-12-02,71.899574
2023-12-03,71.94536
2023-12-04,71.988144
2023-12-05,72.02799
2023-12-06,72.06515
2023-12-07,72.099754
2023-12-08,72.131676
2023-12-09,72.161194
2023-12-10,72.18857
2023-12-11,72.21424
2023-12-12,72.23774
2023-12-13,72.25947
2023-12-14,72.279465
2023-12-15,72.29768
2023-12-16,72.314545
2023-12-17,72.33034
2023-12-18,72.345055
2023-12-19,72.35878
2023-12-20,72.371666
2023-12-21,72.38349
2023-12-22,72.39432
2023-12-23,72.40438
2023-12-24,72.41375
2023-12-25,72.42244
2023-12-26,72.43053
2023-12-27,72.43804
2023-12-28,72.44502
2023-12-29,72.451515
2023-12-30,72.45754
2023-12-31,72.463135
2024-01-01,72.46833
2024-01-02,72.47315
2024-01-03,72.47763
2024-01-04,72.48179
2024-01-05,72.48566
