ds,yhat
2023-11-11,386.068
2023-11-12,388.26166
2023-11-13,389.44165
2023-11-14,390.11005
2023-11-15,390.54523
2023-11-16,390.88065
2023-11-17,391.1749
2023-11-18,391.45184
2023-11-19,391.7205
2023-11-20,391.98383
2023-11-21,392.24283
2023-11-22,392.49768
2023-11-23,392.74847
2023-11-24,392.99527
2023-11-25,393.23807
2023-11-26,393.47702
2023-11-27,393.71216
2023-11-28,393.94363
2023-11-29,394.1715
2023-11-30,394.39572
2023-12-01,394.61658
2023-12-02,394.83395
2023-12-03,395.04797
2023-12-04,395.25876
2023-12-05,395.46622
2023-12-06,395.6705
2023-12-07,395.87164
2023-12-08,396.06967
2023-12-09,396.26462
2023-12-10,396.45657
2023-12-11,396.64554
2023-12-12,396.83167
2023-12-13,397.0149
2023-12-14,397.19525
2023-12-15,397.37286
2023-12-16,397.5477
2023-12-17,397.71988
2023-12-18,397.8894
2023-12-19,398.05624
2023-12-20,398.22052
2023-12-21,398.3823
2023-12-22,398.5416
2023-12-23,398.6984
2023-12-24,398.8528
2023-12-25,399.00482
2023-12-26,399.15448
2023-12-27,399.30185
2023-12-28,399.4469
2023-12-29,399.58972
2023-12-30,399.7304
2023-12-31,399.86884
2024-01-01,400.0052
2024-01-02,400.13937
2024-01-03,400.27155
2024-01-04,400.40167
2024-01-05,400.52975
