ds,yhat
2023-11-11,240.37708
2023-11-12,243.74644
2023-11-13,247.27087
2023-11-14,250.32841
2023-11-15,252.8195
2023-11-16,254.79813
2023-11-17,256.35263
2023-11-18,257.5682
2023-11-19,258.517
2023-11-20,259.2572
2023-11-21,259.8347
2023-11-22,260.2853
2023-11-23,260.637
2023-11-24,260.91165
2023-11-25,261.12616
2023-11-26,261.2937
2023-11-27,261.42456
2023-11-28,261.52686
2023-11-29,261.60672
2023-11-30,261.66922
2023-12-01,261.71802
2023-12-02,261.7562
2023-12-03,261.78607
2023-12-04,261.80936
2023-12-05,261.82767
2023-12-06,261.84195
2023-12-07,261.85318
2023-12-08,261.862
2023-12-09,261.86874
2023-12-10,261.87418
2023-12-11,261.8784
2023-12-12,261.88168
2023-12-13,261.88425
2023-12-14,261.8863
2023-12-15,261.88785
2023-12-16,261.8891
2023-12-17,261.89008
2023-12-18,261.89087
2023-12-19,261.89142
2023-12-20,261.8919
2023-12-21,261.89227
2023-12-22,261.89252
2023-12-23,261.89276
2023-12-24,261.8929
2023-12-25,261.89307
2023-12-26,261.8932
2023-12-27,261.89328
2023-12-28,261.89334
2023-12-29,261.8934
2023-12-30,261.89343
2023-12-31,261.89346
2024-01-01,261.8935
2024-01-02,261.8935
2024-01-03,261.89352
2024-01-04,261.89355
2024-01-05,261.89355
