ds,yhat
2023-11-11,16.477037
2023-11-12,16.429853
2023-11-13,16.39332
2023-11-14,16.364431
2023-11-15,16.34238
2023-11-16,16.327007
2023-11-17,16.318027
2023-11-18,16.314957
2023-11-19,16.316925
2023-11-20,16.323044
2023-11-21,16.332357
2023-11-22,16.343988
2023-11-23,16.357134
2023-11-24,16.371109
2023-11-25,16.385426
2023-11-26,16.399696
2023-11-27,16.413544
2023-11-28,16.426807
2023-11-29,16.439337
2023-11-30,16.451105
2023-12-01,16.462084
2023-12-02,16.472202
2023-12-03,16.4815
2023-12-04,16.490028
2023-12-05,16.497938
2023-12-06,16.505068
2023-12-07,16.511465
2023-12-08,16.517292
2023-12-09,16.522585
2023-12-10,16.527388
2023-12-11,16.531637
2023-12-12,16.535524
2023-12-13,16.538986
2023-12-14,16.542105
2023-12-15,16.544905
2023-12-16,16.547447
2023-12-17,16.549715
2023-12-18,16.55174
2023-12-19,16.553572
2023-12-20,16.555222
2023-12-21,16.556698
2023-12-22,16.558014
2023-12-23,16.559214
2023-12-24,16.560291
2023-12-25,16.561274
2023-12-26,16.562162
2023-12-27,16.562967
2023-12-28,16.563696
2023-12-29,16.564356
2023-12-30,16.564947
2023-12-31,16.565485
2024-01-01,16.565971
2024-01-02,16.566406
2024-01-03,16.566803
2024-01-04,16.56716
2024-01-05,16.567488
