ds,yhat
2023-11-11,529.1745849504418
2023-11-12,529.2942211801528
2023-11-13,529.5271075936508
2023-11-14,529.8418389014537
2023-11-15,529.9835523101862
2023-11-16,530.1379988655725
2023-11-17,530.3030721854257
2023-11-18,530.1123308392135
2023-11-19,530.2764134829611
2023-11-20,530.5612711454102
2023-11-21,530.9341811456318
2023-11-22,531.1388700465538
2023-11-23,531.3596161871985
2023-11-24,531.5928100128918
2023-11-25,531.4705077394722
2023-11-26,531.7018767693903
2023-11-27,532.0514566107173
2023-11-28,532.4851991947443
2023-11-29,532.7456154851311
2023-11-30,533.0158984930091
2023-12-01,533.2915005799092
2023-12-02,533.2037003432193
2023-12-03,533.4610573592831
2023-12-04,533.8276784907374
2023-12-05,534.2692597049584
2023-12-06,534.5282304381725
2023-12-07,534.7878708443089
2023-12-08,535.0438801089584
2023-12-09,534.9279314845519
2023-12-10,535.1491127341673
2023-12-11,535.4721761407711
2023-12-12,535.8635625034764
2023-12-13,536.0665266411403
2023-12-14,536.2652352260388
2023-12-15,536.456315597015
2023-12-16,536.2723916511769
2023-12-17,536.4235059081861
2023-12-18,536.6753522656081
2023-12-19,536.9952841765788
2023-12-20,537.127426022696
2023-12-21,537.2567586970519
2023-12-22,537.38065817736
2023-12-23,537.1324232575854
2023-12-24,537.2226915426223
2023-12-25,537.4176681799959
2023-12-26,537.6851319656648
2023-12-27,537.7695464594418
2023-12-28,537.8561469517429
2023-12-29,537.9424818605656
2023-12-30,537.6619445066565
2023-12-31,537.7251941398988
2024-01-01,537.8983904565996
2024-01-02,538.1492060153793
2024-01-03,538.2219439697534
2024-01-04,538.3016317597558
2024-01-05,538.3855691653047
