ds,yhat
2023-11-11,165.25253
2023-11-12,165.33856
2023-11-13,165.22057
2023-11-14,165.05515
2023-11-15,164.92094
2023-11-16,164.83565
2023-11-17,164.78989
2023-11-18,164.76874
2023-11-19,164.76013
2023-11-20,164.7568
2023-11-21,164.75513
2023-11-22,164.75377
2023-11-23,164.75243
2023-11-24,164.75098
2023-11-25,164.74976
2023-11-26,164.7487
2023-11-27,164.74794
2023-11-28,164.74738
2023-11-29,164.74696
2023-11-30,164.74672
2023-12-01,164.7466
2023-12-02,164.7465
2023-12-03,164.74649
2023-12-04,164.74643
2023-12-05,164.74644
2023-12-06,164.74643
2023-12-07,164.74646
2023-12-08,164.74644
2023-12-09,164.74643
2023-12-10,164.74644
2023-12-11,164.74649
2023-12-12,164.74648
2023-12-13,164.74644
2023-12-14,164.74646
2023-12-15,164.74646
2023-12-16,164.74649
2023-12-17,164.74644
2023-12-18,164.74646
2023-12-19,164.74643
2023-12-20,164.74649
2023-12-21,164.74648
2023-12-22,164.74648
2023-12-23,164.74643
2023-12-24,164.74644
2023-12-25,164.74648
2023-12-26,164.74643
2023-12-27,164.74648
2023-12-28,164.74648
2023-12-29,164.74646
2023-12-30,164.74644
2023-12-31,164.74648
2024-01-01,164.74648
2024-01-02,164.74644
2024-01-03,164.74644
2024-01-04,164.74646
2024-01-05,164.74643
