ds,yhat
2023-11-11,36.157635
2023-11-12,36.26477
2023-11-13,36.341236
2023-11-14,36.38877
2023-11-15,36.415638
2023-11-16,36.429947
2023-11-17,36.437717
2023-11-18,36.442863
2023-11-19,36.447617
2023-11-20,36.453033
2023-11-21,36.45954
2023-11-22,36.46716
2023-11-23,36.475685
2023-11-24,36.48489
2023-11-25,36.4945
2023-11-26,36.50433
2023-11-27,36.51412
2023-11-28,36.52376
2023-11-29,36.533165
2023-11-30,36.54228
2023-12-01,36.551033
2023-12-02,36.55937
2023-12-03,36.567287
2023-12-04,36.57481
2023-12-05,36.58194
2023-12-06,36.58866
2023-12-07,36.595013
2023-12-08,36.601006
2023-12-09,36.60657
2023-12-10,36.6118
2023-12-11,36.61672
2023-12-12,36.62132
2023-12-13,36.62562
2023-12-14,36.62965
2023-12-15,36.633408
2023-12-16,36.63693
2023-12-17,36.640217
2023-12-18,36.643307
2023-12-19,36.646217
2023-12-20,36.64894
2023-12-21,36.65148
2023-12-22,36.65386
2023-12-23,36.65609
2023-12-24,36.65818
2023-12-25,36.66014
2023-12-26,36.66198
2023-12-27,36.663704
2023-12-28,36.665318
2023-12-29,36.666832
2023-12-30,36.668247
2023-12-31,36.669586
2024-01-01,36.670834
2024-01-02,36.672005
2024-01-03,36.673103
2024-01-04,36.674133
2024-01-05,36.67509
