ds,yhat
2023-11-11,227.43932
2023-11-12,228.11867
2023-11-13,228.51572
2023-11-14,228.69595
2023-11-15,228.71484
2023-11-16,228.61684
2023-11-17,228.43727
2023-11-18,228.20299
2023-11-19,227.93542
2023-11-20,227.6504
2023-11-21,227.36026
2023-11-22,227.07307
2023-11-23,226.7949
2023-11-24,226.52959
2023-11-25,226.27885
2023-11-26,226.04468
2023-11-27,225.82732
2023-11-28,225.62604
2023-11-29,225.44081
2023-11-30,225.26982
2023-12-01,225.11185
2023-12-02,224.96667
2023-12-03,224.83305
2023-12-04,224.71028
2023-12-05,224.59775
2023-12-06,224.49362
2023-12-07,224.39836
2023-12-08,224.31024
2023-12-09,224.22739
2023-12-10,224.15154
2023-12-11,224.08224
2023-12-12,224.0177
2023-12-13,223.95815
2023-12-14,223.90317
2023-12-15,223.85226
2023-12-16,223.80573
2023-12-17,223.7629
2023-12-18,223.72339
2023-12-19,223.68724
2023-12-20,223.65395
2023-12-21,223.62328
2023-12-22,223.59808
2023-12-23,223.57452
2023-12-24,223.5526
2023-12-25,223.5323
2023-12-26,223.51353
2023-12-27,223.4962
2023-12-28,223.48026
2023-12-29,223.46558
2023-12-30,223.45204
2023-12-31,223.43959
2024-01-01,223.42819
2024-01-02,223.41768
2024-01-03,223.40804
2024-01-04,223.39917
2024-01-05,223.39104
