ds,yhat
2023-11-11,85.74543
2023-11-12,85.606285
2023-11-13,85.48078
2023-11-14,85.365295
2023-11-15,85.255104
2023-11-16,85.14723
2023-11-17,85.04064
2023-11-18,84.93542
2023-11-19,84.831955
2023-11-20,84.73067
2023-11-21,84.63181
2023-11-22,84.535515
2023-11-23,84.441826
2023-11-24,84.350685
2023-11-25,84.26206
2023-11-26,84.17589
2023-11-27,84.09206
2023-11-28,84.01053
2023-11-29,83.93122
2023-11-30,83.85408
2023-12-01,83.77902
2023-12-02,83.70602
2023-12-03,83.63499
2023-12-04,83.56589
2023-12-05,83.49864
2023-12-06,83.433235
2023-12-07,83.3696
2023-12-08,83.307686
2023-12-09,83.24746
2023-12-10,83.18886
2023-12-11,83.13184
2023-12-12,83.07637
2023-12-13,83.0224
2023-12-14,82.9699
2023-12-15,82.91883
2023-12-16,82.86913
2023-12-17,82.820786
2023-12-18,82.77375
2023-12-19,82.72799
2023-12-20,82.683464
2023-12-21,82.64016
2023-12-22,82.598015
2023-12-23,82.55702
2023-12-24,82.51712
2023-12-25,82.47832
2023-12-26,82.440575
2023-12-27,82.40384
2023-12-28,82.3681
2023-12-29,82.333336
2023-12-30,82.299515
2023-12-31,82.26661
2024-01-01,82.2346
2024-01-02,82.203445
2024-01-03,82.173134
2024-01-04,82.14365
2024-01-05,82.11497
