ds,yhat
2023-11-11,85.79177
2023-11-12,86.01832
2023-11-13,86.16919
2023-11-14,86.25295
2023-11-15,86.281006
2023-11-16,86.26541
2023-11-17,86.21738
2023-11-18,86.146484
2023-11-19,86.06069
2023-11-20,85.96603
2023-11-21,85.86672
2023-11-22,85.76604
2023-11-23,85.66601
2023-11-24,85.56793
2023-11-25,85.47253
2023-11-26,85.38049
2023-11-27,85.29175
2023-11-28,85.20614
2023-11-29,85.12353
2023-11-30,85.0438
2023-12-01,84.966835
2023-12-02,84.89256
2023-12-03,84.82064
2023-12-04,84.750885
2023-12-05,84.683266
2023-12-06,84.61757
2023-12-07,84.553795
2023-12-08,84.49195
2023-12-09,84.431946
2023-12-10,84.37351
2023-12-11,84.31673
2023-12-12,84.261795
2023-12-13,84.208405
2023-12-14,84.15657
2023-12-15,84.10639
2023-12-16,84.05773
2023-12-17,84.01052
2023-12-18,83.96484
2023-12-19,83.92042
2023-12-20,83.87728
2023-12-21,83.835526
2023-12-22,83.79499
2023-12-23,83.75564
2023-12-24,83.71742
2023-12-25,83.68033
2023-12-26,83.64434
2023-12-27,83.6094
2023-12-28,83.5755
2023-12-29,83.5426
2023-12-30,83.51067
2023-12-31,83.479706
2024-01-01,83.44964
2024-01-02,83.420456
2024-01-03,83.39216
2024-01-04,83.36469
2024-01-05,83.33803
