ds,yhat
2023-11-11,162.05925
2023-11-12,162.3583
2023-11-13,162.5285
2023-11-14,162.59543
2023-11-15,162.58374
2023-11-16,162.51436
2023-11-17,162.40424
2023-11-18,162.26584
2023-11-19,162.10953
2023-11-20,161.94225
2023-11-21,161.7694
2023-11-22,161.59402
2023-11-23,161.41829
2023-11-24,161.24411
2023-11-25,161.07315
2023-11-26,160.90651
2023-11-27,160.74411
2023-11-28,160.58557
2023-11-29,160.43117
2023-11-30,160.2805
2023-12-01,160.1338
2023-12-02,159.99142
2023-12-03,159.85306
2023-12-04,159.71806
2023-12-05,159.58673
2023-12-06,159.45914
2023-12-07,159.33447
2023-12-08,159.21324
2023-12-09,159.09525
2023-12-10,158.98042
2023-12-11,158.86859
2023-12-12,158.7602
2023-12-13,158.65495
2023-12-14,158.55267
2023-12-15,158.45389
2023-12-16,158.35829
2023-12-17,158.26526
2023-12-18,158.17468
2023-12-19,158.08685
2023-12-20,158.00113
2023-12-21,157.91792
2023-12-22,157.83783
2023-12-23,157.75984
2023-12-24,157.6839
2023-12-25,157.61005
2023-12-26,157.53821
2023-12-27,157.46837
2023-12-28,157.40048
2023-12-29,157.3345
2023-12-30,157.27039
2023-12-31,157.20808
2024-01-01,157.14752
2024-01-02,157.08868
2024-01-03,157.0315
2024-01-04,156.97592
2024-01-05,156.9219
