ds,yhat
2023-11-11,107.58737
2023-11-12,107.385864
2023-11-13,107.288055
2023-11-14,107.254036
2023-11-15,107.257996
2023-11-16,107.28371
2023-11-17,107.32183
2023-11-18,107.36767
2023-11-19,107.4174
2023-11-20,107.470406
2023-11-21,107.52587
2023-11-22,107.583145
2023-11-23,107.64135
2023-11-24,107.70087
2023-11-25,107.76116
2023-11-26,107.82172
2023-11-27,107.88141
2023-11-28,107.94099
2023-11-29,108.00074
2023-11-30,108.06006
2023-12-01,108.118385
2023-12-02,108.17616
2023-12-03,108.23304
2023-12-04,108.28905
2023-12-05,108.34437
2023-12-06,108.3994
2023-12-07,108.45371
2023-12-08,108.50738
2023-12-09,108.56051
2023-12-10,108.613014
2023-12-11,108.664604
2023-12-12,108.71539
2023-12-13,108.765114
2023-12-14,108.81383
2023-12-15,108.86104
2023-12-16,108.907646
2023-12-17,108.95387
2023-12-18,108.99951
2023-12-19,109.0445
2023-12-20,109.08868
2023-12-21,109.131775
2023-12-22,109.17343
2023-12-23,109.214485
2023-12-24,109.254906
2023-12-25,109.29468
2023-12-26,109.33376
2023-12-27,109.37219
2023-12-28,109.409935
2023-12-29,109.44702
2023-12-30,109.48348
2023-12-31,109.519295
2024-01-01,109.554474
2024-01-02,109.58905
2024-01-03,109.62301
2024-01-04,109.656364
2024-01-05,109.68916
